Company,Hour,HighestPrice,HighPriceOccurance
BYND,9,137.9700012,2020-05-14 09:39:00-04:00
BYND,10,139.5599976,2020-05-14 10:31:00-04:00
BYND,11,141,2020-05-14 11:15:00-04:00
BYND,12,138.2400055,2020-05-14 12:57:00-04:00
BYND,13,137.7899017,2020-05-14 13:00:00-04:00
BYND,14,135.7301025,2020-05-14 14:12:00-04:00
BYND,15,135.8500061,2020-05-14 15:54:00-04:00
DDOG,9,67.25,2020-05-14 09:32:00-04:00
DDOG,10,66.55000305,2020-05-14 10:09:00-04:00
DDOG,11,65,2020-05-14 11:20:00-04:00
DDOG,11,65,2020-05-14 11:16:00-04:00
DDOG,11,65,2020-05-14 11:06:00-04:00
DDOG,11,65,2020-05-14 11:05:00-04:00
DDOG,12,64.87999725,2020-05-14 12:54:00-04:00
DDOG,13,65,2020-05-14 13:02:00-04:00
DDOG,14,64.12999725,2020-05-14 14:48:00-04:00
DDOG,15,65.86990356,2020-05-14 15:54:00-04:00
FB,9,203.8677979,2020-05-14 09:37:00-04:00
FB,10,203.3500061,2020-05-14 10:53:00-04:00
FB,11,204.2700043,2020-05-14 11:37:00-04:00
FB,12,205.1000061,2020-05-14 12:56:00-04:00
FB,13,205.6399994,2020-05-14 13:32:00-04:00
FB,14,204.9850006,2020-05-14 14:29:00-04:00
FB,15,206.9299927,2020-05-14 15:59:00-04:00
NFLX,9,452,2020-05-14 09:36:00-04:00
NFLX,10,446.5100098,2020-05-14 10:08:00-04:00
NFLX,11,440.6400146,2020-05-14 11:16:00-04:00
NFLX,12,440.3399963,2020-05-14 12:59:00-04:00
NFLX,13,441.7799988,2020-05-14 13:49:00-04:00
NFLX,14,441.4400024,2020-05-14 14:30:00-04:00
NFLX,15,442.1400146,2020-05-14 15:59:00-04:00
OKTA,9,178,2020-05-14 09:39:00-04:00
OKTA,9,178,2020-05-14 09:38:00-04:00
OKTA,10,177.8067932,2020-05-14 10:10:00-04:00
OKTA,11,179.8899994,2020-05-14 11:37:00-04:00
OKTA,12,179.0050049,2020-05-14 12:57:00-04:00
OKTA,13,178.5,2020-05-14 13:02:00-04:00
OKTA,13,178.5,2020-05-14 13:03:00-04:00
OKTA,14,177.8099976,2020-05-14 14:32:00-04:00
OKTA,15,177.8500061,2020-05-14 15:05:00-04:00
PINS,9,16.54000092,2020-05-14 09:31:00-04:00
PINS,9,16.54000092,2020-05-14 09:32:00-04:00
PINS,10,16.67499924,2020-05-14 10:53:00-04:00
PINS,10,16.67499924,2020-05-14 10:54:00-04:00
PINS,11,16.94499969,2020-05-14 11:18:00-04:00
PINS,12,17.04000092,2020-05-14 12:57:00-04:00
PINS,13,17.03000069,2020-05-14 13:26:00-04:00
PINS,14,16.90500069,2020-05-14 14:21:00-04:00
PINS,14,16.90500069,2020-05-14 14:22:00-04:00
PINS,15,17.09000015,2020-05-14 15:51:00-04:00
PINS,15,17.09000015,2020-05-14 15:50:00-04:00
SHOP,9,758.0900269,2020-05-14 09:31:00-04:00
SHOP,10,752,2020-05-14 10:10:00-04:00
SHOP,10,752,2020-05-14 10:12:00-04:00
SHOP,11,757.4699707,2020-05-14 11:16:00-04:00
SHOP,12,754.1599731,2020-05-14 12:57:00-04:00
SHOP,13,755.8200073,2020-05-14 13:01:00-04:00
SHOP,14,751.7999878,2020-05-14 14:57:00-04:00
SHOP,15,755.5700073,2020-05-14 15:50:00-04:00
SNAP,9,16.72999954,2020-05-14 09:31:00-04:00
SNAP,10,16.93000031,2020-05-14 10:54:00-04:00
SNAP,11,17.14999962,2020-05-14 11:07:00-04:00
SNAP,12,16.98999977,2020-05-14 12:57:00-04:00
SNAP,13,17,2020-05-14 13:31:00-04:00
SNAP,14,16.92000008,2020-05-14 14:58:00-04:00
SNAP,14,16.92000008,2020-05-14 14:57:00-04:00
SNAP,15,16.96999931,2020-05-14 15:09:00-04:00
SNAP,15,16.96999931,2020-05-14 15:08:00-04:00
SQ,9,72.80999756,2020-05-14 09:46:00-04:00
SQ,10,75.58999634,2020-05-14 10:59:00-04:00
SQ,11,76.48999786,2020-05-14 11:09:00-04:00
SQ,12,76.75,2020-05-14 12:59:00-04:00
SQ,13,77.18000031,2020-05-14 13:48:00-04:00
SQ,14,77.26000214,2020-05-14 14:59:00-04:00
SQ,15,78.25,2020-05-14 15:57:00-04:00
TTD,9,289.4498901,2020-05-14 09:31:00-04:00
TTD,10,290.0700073,2020-05-14 10:53:00-04:00
TTD,11,296.8562927,2020-05-14 11:18:00-04:00
TTD,12,294.5,2020-05-14 12:57:00-04:00
TTD,13,296,2020-05-14 13:31:00-04:00
TTD,14,295.769989,2020-05-14 14:59:00-04:00
TTD,15,297.6700134,2020-05-14 15:24:00-04:00
